,金额,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯
0,279,4室2厅1厨3卫,低楼层 (共3层),176.08㎡,,暂无数据,,东,未知结构,精装,,
1,93.8,3室2厅1厨1卫,高楼层 (共18层),96.59㎡,平层,75.37㎡,板塔结合,南 北,钢混结构,精装,一梯四户,暂无数据
2,110,3室2厅1厨2卫,中楼层 (共16层),91.58㎡,平层,暂无数据,暂无数据,南,未知结构,精装,一梯六户,暂无数据
3,56,2室2厅1厨1卫,中楼层 (共13层),71.53㎡,平层,暂无数据,暂无数据,南,未知结构,简装,一梯九户,暂无数据
4,87,3室2厅1厨1卫,中楼层 (共33层),100.34㎡,平层,暂无数据,板塔结合,西北,混合结构,精装,一梯五户,暂无数据
5,53,1室1厅1厨1卫,中楼层 (共18层),56.83㎡,平层,47.09㎡,板塔结合,西南,钢混结构,精装,两梯六户,有
6,85,2室1厅1厨1卫,低楼层 (共17层),80.41㎡,平层,67.95㎡,板塔结合,南,钢混结构,精装,一梯八户,暂无数据
7,103,3室2厅1厨2卫,中楼层 (共18层),94.16㎡,平层,74.33㎡,暂无数据,南,钢混结构,精装,一梯四户,暂无数据
8,800,8室2厅1厨5卫,低楼层 (共2层),522.24㎡,,暂无数据,,南 北,未知结构,其他,,
9,105,3室2厅1厨1卫,高楼层 (共18层),101.3㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯六户,暂无数据
10,66,2室2厅1厨1卫,高楼层 (共18层),67.05㎡,平层,50.17㎡,板塔结合,西南,钢混结构,其他,两梯八户,有
11,119,3室2厅1厨2卫,中楼层 (共18层),108.14㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,一梯六户,暂无数据
12,48,2室1厅1厨1卫,低楼层 (共11层),67.27㎡,平层,56.51㎡,板塔结合,南 北,钢混结构,简装,一梯四户,暂无数据
13,73,2室2厅1厨1卫,低楼层 (共23层),78.11㎡,平层,64.45㎡,塔楼,西北,框架结构,精装,两梯六户,有
14,48,2室2厅1厨1卫,中楼层 (共11层),70.59㎡,平层,57.31㎡,塔楼,南,钢混结构,精装,一梯六户,有
15,80,3室2厅1厨1卫,中楼层 (共11层),85.78㎡,平层,暂无数据,板楼,北 南,钢混结构,精装,一梯八户,暂无数据
16,98,3室2厅1厨2卫,高楼层 (共24层),108㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,一梯六户,暂无数据
17,23,1室0厅1厨1卫,高楼层 (共13层),36.35㎡,平层,30.43㎡,板塔结合,南,钢混结构,毛坯,一梯六户,有
18,112,3室2厅1厨1卫,高楼层 (共18层),92.89㎡,平层,72.57㎡,板塔结合,南 北,钢混结构,精装,一梯四户,暂无数据
19,55,2室2厅1厨1卫,高楼层 (共22层),65.27㎡,平层,51.24㎡,板塔结合,南 北,钢混结构,简装,两梯八户,有
20,75,2室1厅1厨1卫,高楼层 (共27层),71.97㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,暂无数据
21,58,2室2厅1厨1卫,低楼层 (共18层),95.78㎡,平层,暂无数据,板楼,西南 东北,钢混结构,精装,两梯四户,有
22,63,2室2厅1厨1卫,低楼层 (共18层),78.2㎡,平层,暂无数据,暂无数据,南,钢混结构,简装,两梯六户,有
23,48,2室2厅1厨1卫,低楼层 (共17层),71.53㎡,平层,59.78㎡,板楼,东南,钢混结构,精装,两梯七户,有
24,63,2室2厅1厨1卫,高楼层 (共18层),60.9㎡,平层,49.5㎡,板塔结合,南,框架结构,精装,两梯六户,有
25,72,2室2厅1厨1卫,中楼层 (共15层),64㎡,平层,暂无数据,暂无数据,南,未知结构,其他,一梯六户,暂无数据
26,110,4室2厅1厨2卫,低楼层 (共18层),97.15㎡,平层,暂无数据,板塔结合,南 北,框架结构,其他,两梯六户,有
27,76,3室2厅1厨2卫,低楼层 (共25层),104.26㎡,平层,暂无数据,塔楼,西北,钢混结构,精装,两梯十八户,有
28,4452,7室3厅2厨4卫,低楼层 (共3层),1267.09㎡,复式,暂无数据,暂无数据,南,钢混结构,精装,一梯一户,暂无数据
29,78,2室2厅1厨2卫,高楼层 (共23层),67㎡,跃层,暂无数据,板塔结合,东南,钢混结构,精装,一梯七户,暂无数据
30,77,2室2厅1厨1卫,高楼层 (共18层),61.98㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,一梯六户,暂无数据
31,55,2室2厅1厨1卫,中楼层 (共18层),95.78㎡,平层,22.86㎡,板塔结合,西南,钢混结构,精装,一梯八户,暂无数据
32,75,2室2厅1厨1卫,中楼层 (共18层),68.55㎡,平层,56.02㎡,暂无数据,南,钢混结构,其他,一梯五户,暂无数据
33,50,2室2厅1厨1卫,高楼层 (共17层),72.12㎡,平层,57.25㎡,塔楼,南 北,框架结构,精装,一梯六户,暂无数据
34,63,2室2厅1厨1卫,中楼层 (共18层),61㎡,平层,暂无数据,板塔结合,南,框架结构,简装,两梯六户,有
35,50,1室1厅1厨1卫,高楼层 (共30层),60.74㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,一梯八户,暂无数据
36,55,2室1厅1厨1卫,中楼层 (共11层),66.66㎡,平层,暂无数据,板塔结合,西南,钢混结构,精装,一梯十户,暂无数据
37,47,2室2厅1厨1卫,高楼层 (共11层),75.62㎡,平层,暂无数据,板塔结合,南 北,框架结构,精装,一梯四户,暂无数据
38,62,2室2厅1厨1卫,低楼层 (共18层),61.44㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯八户,有
39,110,2室1厅1厨1卫,高楼层 (共19层),88.78㎡,平层,暂无数据,板塔结合,北,框架结构,精装,两梯七户,有
40,83,2室2厅1厨1卫,中楼层 (共26层),72.57㎡,平层,59.49㎡,板楼,南,钢混结构,精装,两梯八户,有
41,25,1室0厅1厨1卫,低楼层 (共9层),43.76㎡,平层,暂无数据,板塔结合,西南,钢混结构,简装,一梯十二户,有
42,30,1室1厅1厨1卫,高楼层 (共16层),42㎡,平层,暂无数据,板楼,东南,钢混结构,毛坯,两梯十八户,有
43,80,2室2厅1厨1卫,低楼层 (共17层),87.13㎡,平层,暂无数据,板塔结合,东北,框架结构,精装,两梯六户,有
44,36,1室1厅1厨1卫,中楼层 (共18层),40.25㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯八户,有
45,60,2室1厅1厨1卫,低楼层 (共24层),62.49㎡,平层,暂无数据,塔楼,南,钢混结构,精装,一梯六户,暂无数据
46,90,2室2厅1厨1卫,高楼层 (共18层),85.66㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯六户,暂无数据
47,65,2室1厅1厨1卫,中楼层 (共18层),75.91㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯四户,有
48,48,2室1厅1厨1卫,低楼层 (共11层),62㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯八户,有
49,80,2室1厅1厨1卫,低楼层 (共26层),75㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯八户,有
50,100,3室1厅1厨2卫,高楼层 (共18层),110.37㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,有
51,155,3室2厅1厨2卫,低楼层 (共24层),123.54㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,两梯四户,有
52,40,1室1厅1厨1卫,低楼层 (共12层),45.8㎡,平层,33.64㎡,板塔结合,南,钢混结构,精装,一梯十八户,暂无数据
53,32,1室0厅1厨1卫,中楼层 (共9层),43.94㎡,平层,暂无数据,板塔结合,东南,钢混结构,其他,一梯七户,暂无数据
54,73,2室2厅1厨1卫,中楼层 (共29层),82.07㎡,平层,65.29㎡,板塔结合,南 北,钢混结构,精装,四梯八户,有
55,95,2室2厅1厨1卫,高楼层 (共18层),84.94㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,暂无数据
56,85,2室2厅1厨1卫,低楼层 (共15层),79.09㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯八户,暂无数据
57,52,1室1厅1厨1卫,低楼层 (共18层),56.83㎡,平层,47.09㎡,塔楼,西南,钢混结构,精装,两梯六户,有
58,85,2室2厅1厨1卫,低楼层 (共16层),81㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯四户,暂无数据
59,69,2室1厅1厨1卫,高楼层 (共18层),74㎡,平层,暂无数据,塔楼,东南 南,钢混结构,毛坯,一梯四户,暂无数据
60,90,2室2厅1厨1卫,中楼层 (共24层),88.33㎡,平层,67.1㎡,塔楼,南 北,钢混结构,毛坯,一梯六户,暂无数据
61,93,3室2厅1厨1卫,低楼层 (共33层),112㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,一梯四户,暂无数据
62,71,2室2厅1厨1卫,高楼层 (共17层),87.28㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯五户,暂无数据
63,550,5室2厅1厨3卫,低楼层 (共2层),316.2㎡,,暂无数据,,南 北,钢混结构,毛坯,,
64,59,2室2厅1厨1卫,高楼层 (共18层),76.11㎡,暂无数据,59.92㎡,暂无数据,南 北,未知结构,精装,一梯七户,暂无数据
65,88,2室1厅1厨1卫,低楼层 (共16层),81.47㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯八户,有
66,86,2室2厅1厨1卫,高楼层 (共16层),82㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,一梯八户,暂无数据
67,68,3室2厅1厨1卫,低楼层 (共6层),96.84㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,一梯两户,暂无数据
68,35,1室0厅1厨1卫,中楼层 (共7层),44㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,一梯十一户,暂无数据
69,85,3室2厅1厨1卫,低楼层 (共33层),108㎡,暂无数据,暂无数据,塔楼,北,钢混结构,其他,两梯五户,有
70,60,2室2厅1厨1卫,低楼层 (共26层),76㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯七户,有
71,65,2室2厅1厨1卫,低楼层 (共15层),87.4㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯五户,暂无数据
72,69,2室2厅1厨1卫,中楼层 (共15层),87.4㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯五户,暂无数据
73,76,2室2厅1厨1卫,高楼层 (共18层),81.72㎡,平层,67.82㎡,板塔结合,东北,钢混结构,简装,两梯六户,有
74,102,3室2厅1厨1卫,高楼层 (共18层),115.86㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯五户,暂无数据
75,75,2室1厅1厨1卫,高楼层 (共18层),72.09㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯六户,暂无数据
76,150,3室2厅1厨2卫,高楼层 (共18层),137.79㎡,平层,暂无数据,板楼,南 北,框架结构,其他,一梯三户,暂无数据
77,115,3室2厅1厨2卫,低楼层 (共17层),102.8㎡,平层,暂无数据,板楼,东 西,钢混结构,精装,两梯七户,有
78,590,5室3厅1厨3卫,低楼层 (共2层),174.64㎡,,暂无数据,,南 北,未知结构,其他,,
79,132,3室2厅1厨2卫,低楼层 (共18层),120㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,两梯三户,有
80,83,2室2厅1厨1卫,低楼层 (共18层),82.07㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯五户,暂无数据
81,92,2室2厅1厨1卫,中楼层 (共18层),76.48㎡,平层,63.63㎡,暂无数据,北,框架结构,精装,两梯八户,有
82,42,1室1厅1厨1卫,低楼层 (共6层),47.33㎡,平层,31.4㎡,板楼,西南,钢混结构,简装,三梯二十八户,有
83,48,2室1厅1厨1卫,低楼层 (共11层),66.15㎡,平层,54.9㎡,板塔结合,东南,钢混结构,精装,一梯十户,暂无数据
84,80,2室2厅1厨1卫,低楼层 (共18层),81.72㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,两梯六户,有
85,30,1室1厅1厨1卫,高楼层 (共9层),43.94㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯十户,暂无数据
86,95,3室2厅1厨2卫,高楼层 (共18层),50㎡,平层,暂无数据,板楼,东北,钢混结构,其他,两梯八户,有
87,80,2室1厅1厨1卫,低楼层 (共18层),63.29㎡,平层,暂无数据,暂无数据,南,未知结构,精装,两梯六户,有
88,71,2室2厅1厨1卫,低楼层 (共7层),81.45㎡,平层,68.14㎡,板塔结合,南 北,钢混结构,精装,一梯四户,暂无数据
89,590,5室2厅1厨4卫,低楼层 (共2层),174.67㎡,,暂无数据,,南 北,未知结构,其他,,
90,182,,低楼层 (共24层),125.9㎡,,,,南 北,,,,
91,128,3室2厅1厨2卫,中楼层 (共18层),99.74㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,一梯六户,暂无数据
92,685,6室3厅1厨3卫,低楼层 (共3层),280.77㎡,复式,280.77㎡,暂无数据,南 北,未知结构,简装,一梯四户,暂无数据
93,338,3室3厅1厨3卫,低楼层 (共2层),179.56㎡,,174.5㎡,,南 北,钢混结构,其他,,
94,368,4室3厅1厨3卫,低楼层 (共2层),177.35㎡,复式,171.88㎡,暂无数据,南 北,未知结构,其他,一梯一户,暂无数据
95,55,2室1厅1厨1卫,高楼层 (共25层),70.56㎡,平层,53.45㎡,塔楼,南,钢混结构,毛坯,四梯二十户,有
96,185,3室2厅1厨2卫,高楼层 (共25层),137.41㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯四户,有
97,150,3室2厅1厨2卫,高楼层 (共18层),121㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,一梯三户,暂无数据
98,105,3室2厅1厨1卫,中楼层 (共18层),114.79㎡,平层,97.24㎡,板塔结合,南 北,钢混结构,毛坯,一梯五户,暂无数据
99,110,3室1厅1厨2卫,中楼层 (共18层),129.82㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,一梯五户,暂无数据
100,155,3室2厅1厨2卫,中楼层 (共18层),137.79㎡,平层,116.71㎡,暂无数据,南 北,钢混结构,精装,一梯三户,暂无数据
