金额,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯
279.0,4室2厅1厨3卫,低楼层 (共3层),176.08,,,,东,未知结构,精装,其他,无
93.8,3室2厅1厨1卫,高楼层 (共18层),96.59,平层,75.37,板塔结合,南 北,钢混结构,精装,一梯四户,无
110.0,3室2厅1厨2卫,中楼层 (共16层),91.58,平层,,,南,未知结构,精装,一梯六户,无
56.0,2室2厅1厨1卫,中楼层 (共13层),71.53,平层,,,南,未知结构,简装,一梯九户,无
87.0,3室2厅1厨1卫,中楼层 (共33层),100.34,平层,,板塔结合,西北,混合结构,精装,一梯五户,无
53.0,1室1厅1厨1卫,中楼层 (共18层),56.83,平层,47.09,板塔结合,西南,钢混结构,精装,两梯六户,有
85.0,2室1厅1厨1卫,低楼层 (共17层),80.41,平层,67.95,板塔结合,南,钢混结构,精装,一梯八户,无
103.0,3室2厅1厨2卫,中楼层 (共18层),94.16,平层,74.33,,南,钢混结构,精装,一梯四户,无
800.0,8室2厅1厨5卫,低楼层 (共2层),522.24,,,,南 北,未知结构,其他,其他,无
105.0,3室2厅1厨1卫,高楼层 (共18层),101.3,平层,,板塔结合,南,钢混结构,精装,一梯六户,无
66.0,2室2厅1厨1卫,高楼层 (共18层),67.05,平层,50.17,板塔结合,西南,钢混结构,其他,两梯八户,有
119.0,3室2厅1厨2卫,中楼层 (共18层),108.14,平层,,板塔结合,南 北,钢混结构,其他,一梯六户,无
48.0,2室1厅1厨1卫,低楼层 (共11层),67.27,平层,56.51,板塔结合,南 北,钢混结构,简装,一梯四户,无
73.0,2室2厅1厨1卫,低楼层 (共23层),78.11,平层,64.45,塔楼,西北,框架结构,精装,两梯六户,有
48.0,2室2厅1厨1卫,中楼层 (共11层),70.59,平层,57.31,塔楼,南,钢混结构,精装,一梯六户,有
80.0,3室2厅1厨1卫,中楼层 (共11层),85.78,平层,,板楼,北 南,钢混结构,精装,一梯八户,无
98.0,3室2厅1厨2卫,高楼层 (共24层),108.0,平层,,板塔结合,南 北,钢混结构,其他,一梯六户,无
23.0,1室0厅1厨1卫,高楼层 (共13层),36.35,平层,30.43,板塔结合,南,钢混结构,毛坯,一梯六户,有
112.0,3室2厅1厨1卫,高楼层 (共18层),92.89,平层,72.57,板塔结合,南 北,钢混结构,精装,一梯四户,无
55.0,2室2厅1厨1卫,高楼层 (共22层),65.27,平层,51.24,板塔结合,南 北,钢混结构,简装,两梯八户,有
75.0,2室1厅1厨1卫,高楼层 (共27层),71.97,平层,,板塔结合,南 北,钢混结构,精装,一梯两户,无
58.0,2室2厅1厨1卫,低楼层 (共18层),95.78,平层,,板楼,西南 东北,钢混结构,精装,两梯四户,有
63.0,2室2厅1厨1卫,低楼层 (共18层),78.2,平层,,,南,钢混结构,简装,两梯六户,有
48.0,2室2厅1厨1卫,低楼层 (共17层),71.53,平层,59.78,板楼,东南,钢混结构,精装,两梯七户,有
63.0,2室2厅1厨1卫,高楼层 (共18层),60.9,平层,49.5,板塔结合,南,框架结构,精装,两梯六户,有
72.0,2室2厅1厨1卫,中楼层 (共15层),64.0,平层,,,南,未知结构,其他,一梯六户,无
110.0,4室2厅1厨2卫,低楼层 (共18层),97.15,平层,,板塔结合,南 北,框架结构,其他,两梯六户,有
76.0,3室2厅1厨2卫,低楼层 (共25层),104.26,平层,,塔楼,西北,钢混结构,精装,两梯十八户,有
4452.0,7室3厅2厨4卫,低楼层 (共3层),1267.09,复式,,,南,钢混结构,精装,一梯一户,无
78.0,2室2厅1厨2卫,高楼层 (共23层),67.0,跃层,,板塔结合,东南,钢混结构,精装,一梯七户,无
77.0,2室2厅1厨1卫,高楼层 (共18层),61.98,平层,,板塔结合,北,钢混结构,精装,一梯六户,无
55.0,2室2厅1厨1卫,中楼层 (共18层),95.78,平层,22.86,板塔结合,西南,钢混结构,精装,一梯八户,无
75.0,2室2厅1厨1卫,中楼层 (共18层),68.55,平层,56.02,,南,钢混结构,其他,一梯五户,无
50.0,2室2厅1厨1卫,高楼层 (共17层),72.12,平层,57.25,塔楼,南 北,框架结构,精装,一梯六户,无
63.0,2室2厅1厨1卫,中楼层 (共18层),61.0,平层,,板塔结合,南,框架结构,简装,两梯六户,有
50.0,1室1厅1厨1卫,高楼层 (共30层),60.74,平层,,板塔结合,北,钢混结构,精装,一梯八户,无
55.0,2室1厅1厨1卫,中楼层 (共11层),66.66,平层,,板塔结合,西南,钢混结构,精装,一梯十户,无
47.0,2室2厅1厨1卫,高楼层 (共11层),75.62,平层,,板塔结合,南 北,框架结构,精装,一梯四户,无
62.0,2室2厅1厨1卫,低楼层 (共18层),61.44,平层,,板楼,南,钢混结构,简装,两梯八户,有
110.0,2室1厅1厨1卫,高楼层 (共19层),88.78,平层,,板塔结合,北,框架结构,精装,两梯七户,有
83.0,2室2厅1厨1卫,中楼层 (共26层),72.57,平层,59.49,板楼,南,钢混结构,精装,两梯八户,有
25.0,1室0厅1厨1卫,低楼层 (共9层),43.76,平层,,板塔结合,西南,钢混结构,简装,一梯十二户,有
30.0,1室1厅1厨1卫,高楼层 (共16层),42.0,平层,,板楼,东南,钢混结构,毛坯,两梯十八户,有
80.0,2室2厅1厨1卫,低楼层 (共17层),87.13,平层,,板塔结合,东北,框架结构,精装,两梯六户,有
36.0,1室1厅1厨1卫,中楼层 (共18层),40.25,平层,,板塔结合,东南,钢混结构,精装,两梯八户,有
60.0,2室1厅1厨1卫,低楼层 (共24层),62.49,平层,,塔楼,南,钢混结构,精装,一梯六户,无
90.0,2室2厅1厨1卫,高楼层 (共18层),85.66,平层,,板塔结合,南 北,钢混结构,精装,一梯六户,无
65.0,2室1厅1厨1卫,中楼层 (共18层),75.91,平层,,塔楼,南,钢混结构,简装,两梯四户,有
48.0,2室1厅1厨1卫,低楼层 (共11层),62.0,平层,,板塔结合,南,钢混结构,精装,两梯八户,有
80.0,2室1厅1厨1卫,低楼层 (共26层),75.0,平层,,板塔结合,南,钢混结构,精装,两梯八户,有
100.0,3室1厅1厨2卫,高楼层 (共18层),110.37,平层,,板楼,南 北,钢混结构,其他,两梯四户,有
155.0,3室2厅1厨2卫,低楼层 (共24层),123.54,平层,,板塔结合,南 北,钢混结构,其他,两梯四户,有
40.0,1室1厅1厨1卫,低楼层 (共12层),45.8,平层,33.64,板塔结合,南,钢混结构,精装,一梯十八户,无
32.0,1室0厅1厨1卫,中楼层 (共9层),43.94,平层,,板塔结合,东南,钢混结构,其他,一梯七户,无
73.0,2室2厅1厨1卫,中楼层 (共29层),82.07,平层,65.29,板塔结合,南 北,钢混结构,精装,四梯八户,有
95.0,2室2厅1厨1卫,高楼层 (共18层),84.94,平层,,板塔结合,南,钢混结构,精装,一梯四户,无
85.0,2室2厅1厨1卫,低楼层 (共15层),79.09,平层,,板塔结合,南,钢混结构,精装,一梯八户,无
52.0,1室1厅1厨1卫,低楼层 (共18层),56.83,平层,47.09,塔楼,西南,钢混结构,精装,两梯六户,有
85.0,2室2厅1厨1卫,低楼层 (共16层),81.0,平层,,板塔结合,南 北,钢混结构,精装,一梯四户,无
69.0,2室1厅1厨1卫,高楼层 (共18层),74.0,平层,,塔楼,东南 南,钢混结构,毛坯,一梯四户,无
90.0,2室2厅1厨1卫,中楼层 (共24层),88.33,平层,67.1,塔楼,南 北,钢混结构,毛坯,一梯六户,无
93.0,3室2厅1厨1卫,低楼层 (共33层),112.0,平层,,板塔结合,南,钢混结构,其他,一梯四户,无
71.0,2室2厅1厨1卫,高楼层 (共17层),87.28,平层,,板塔结合,南,钢混结构,毛坯,一梯五户,无
550.0,5室2厅1厨3卫,低楼层 (共2层),316.2,,,,南 北,钢混结构,毛坯,其他,无
59.0,2室2厅1厨1卫,高楼层 (共18层),76.11,,59.92,,南 北,未知结构,精装,一梯七户,无
88.0,2室1厅1厨1卫,低楼层 (共16层),81.47,,,板塔结合,南,钢混结构,精装,两梯八户,有
86.0,2室2厅1厨1卫,高楼层 (共16层),82.0,,,板塔结合,南,钢混结构,简装,一梯八户,无
68.0,3室2厅1厨1卫,低楼层 (共6层),96.84,,,,南,未知结构,简装,一梯两户,无
35.0,1室0厅1厨1卫,中楼层 (共7层),44.0,,,板塔结合,南,钢混结构,精装,一梯十一户,无
85.0,3室2厅1厨1卫,低楼层 (共33层),108.0,,,塔楼,北,钢混结构,其他,两梯五户,有
60.0,2室2厅1厨1卫,低楼层 (共26层),76.0,,,板塔结合,南,钢混结构,毛坯,两梯七户,有
65.0,2室2厅1厨1卫,低楼层 (共15层),87.4,平层,,板塔结合,南 北,钢混结构,毛坯,一梯五户,无
69.0,2室2厅1厨1卫,中楼层 (共15层),87.4,平层,,板塔结合,南,钢混结构,毛坯,一梯五户,无
76.0,2室2厅1厨1卫,高楼层 (共18层),81.72,平层,67.82,板塔结合,东北,钢混结构,简装,两梯六户,有
102.0,3室2厅1厨1卫,高楼层 (共18层),115.86,平层,,板塔结合,南,钢混结构,毛坯,一梯五户,无
75.0,2室1厅1厨1卫,高楼层 (共18层),72.09,平层,,板楼,南,钢混结构,简装,一梯六户,无
150.0,3室2厅1厨2卫,高楼层 (共18层),137.79,平层,,板楼,南 北,框架结构,其他,一梯三户,无
115.0,3室2厅1厨2卫,低楼层 (共17层),102.8,平层,,板楼,东 西,钢混结构,精装,两梯七户,有
590.0,5室3厅1厨3卫,低楼层 (共2层),174.64,,,,南 北,未知结构,其他,其他,无
132.0,3室2厅1厨2卫,低楼层 (共18层),120.0,平层,,板塔结合,南 北,钢混结构,其他,两梯三户,有
83.0,2室2厅1厨1卫,低楼层 (共18层),82.07,平层,,板塔结合,南,钢混结构,精装,一梯五户,无
92.0,2室2厅1厨1卫,中楼层 (共18层),76.48,平层,63.63,,北,框架结构,精装,两梯八户,有
42.0,1室1厅1厨1卫,低楼层 (共6层),47.33,平层,31.4,板楼,西南,钢混结构,简装,三梯二十八户,有
48.0,2室1厅1厨1卫,低楼层 (共11层),66.15,平层,54.9,板塔结合,东南,钢混结构,精装,一梯十户,无
80.0,2室2厅1厨1卫,低楼层 (共18层),81.72,平层,,板塔结合,北,钢混结构,精装,两梯六户,有
30.0,1室1厅1厨1卫,高楼层 (共9层),43.94,平层,,板塔结合,南,钢混结构,简装,一梯十户,无
95.0,3室2厅1厨2卫,高楼层 (共18层),50.0,平层,,板楼,东北,钢混结构,其他,两梯八户,有
80.0,2室1厅1厨1卫,低楼层 (共18层),63.29,平层,,,南,未知结构,精装,两梯六户,有
71.0,2室2厅1厨1卫,低楼层 (共7层),81.45,平层,68.14,板塔结合,南 北,钢混结构,精装,一梯四户,无
590.0,5室2厅1厨4卫,低楼层 (共2层),174.67,,,,南 北,未知结构,其他,其他,无
182.0,,低楼层 (共24层),125.9,,,,南 北,其他,,其他,无
128.0,3室2厅1厨2卫,中楼层 (共18层),99.74,平层,,板塔结合,南,钢混结构,其他,一梯六户,无
685.0,6室3厅1厨3卫,低楼层 (共3层),280.77,复式,280.77,,南 北,未知结构,简装,一梯四户,无
338.0,3室3厅1厨3卫,低楼层 (共2层),179.56,,174.5,,南 北,钢混结构,其他,其他,无
368.0,4室3厅1厨3卫,低楼层 (共2层),177.35,复式,171.88,,南 北,未知结构,其他,一梯一户,无
55.0,2室1厅1厨1卫,高楼层 (共25层),70.56,平层,53.45,塔楼,南,钢混结构,毛坯,四梯二十户,有
185.0,3室2厅1厨2卫,高楼层 (共25层),137.41,平层,,板塔结合,南 北,钢混结构,简装,两梯四户,有
150.0,3室2厅1厨2卫,高楼层 (共18层),121.0,平层,,板塔结合,南,钢混结构,其他,一梯三户,无
105.0,3室2厅1厨1卫,中楼层 (共18层),114.79,平层,97.24,板塔结合,南 北,钢混结构,毛坯,一梯五户,无
110.0,3室1厅1厨2卫,中楼层 (共18层),129.82,平层,,,南,未知结构,毛坯,一梯五户,无
155.0,3室2厅1厨2卫,中楼层 (共18层),137.79,平层,116.71,,南 北,钢混结构,精装,一梯三户,无
95.0,3室2厅1厨2卫,高楼层 (共25层),93.76,平层,73.72,板塔结合,东南,钢混结构,其他,一梯九户,无
460.0,5室2厅1厨5卫,低楼层 (共3层),280.77,,280.0,,南 北,钢混结构,精装,其他,无
538.0,5室2厅1厨3卫,低楼层 (共2层),301.0,复式,301.0,,东 南 西 北,未知结构,精装,一梯一户,无
