金额,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,所在区域
25.8,2室2厅1厨1卫,中楼层 (共7层),53.29,平层,45.19,板楼,南,砖混结构,精装,一梯两户,无,天元区
45.8,2室2厅1厨1卫,低楼层 (共23层),84.75,平层,63.08,板塔结合,南 北,钢混结构,精装,一梯三户,无,荷塘区
70.8,3室2厅1厨1卫,中楼层 (共30层),114.24,平层,,板塔结合,南,砖混结构,毛坯,四梯四户,有,天元区
32.8,3室2厅1厨1卫,高楼层 (共6层),92.05,平层,80.43,,东南,未知结构,精装,一梯两户,无,石峰区
52.8,3室2厅1厨1卫,高楼层 (共27层),88.23,平层,,板塔结合,南,框架结构,精装,两梯三户,有,荷塘区
75.0,3室2厅1厨2卫,高楼层 (共30层),130.0,平层,,板楼,东南,钢混结构,精装,两梯三户,有,荷塘区
41.8,3室2厅1厨1卫,中楼层 (共6层),111.97,平层,,,南 北,混合结构,简装,一梯两户,无,荷塘区
64.8,3室1厅1厨2卫,低楼层 (共32层),119.8,平层,,板塔结合,南 北,钢混结构,毛坯,两梯三户,有,天元区
63.0,3室2厅1厨1卫,高楼层 (共18层),101.54,平层,,,东南,未知结构,精装,两梯三户,有,荷塘区
62.8,3室2厅1厨1卫,低楼层 (共27层),90.66,平层,,板塔结合,北,混合结构,简装,两梯四户,有,天元区
31.0,3室2厅1厨1卫,中楼层 (共7层),85.42,平层,,板楼,南,钢混结构,简装,一梯两户,无,天元区
55.0,3室2厅1厨1卫,低楼层 (共31层),113.0,平层,110.0,板楼,南,钢混结构,精装,两梯四户,有,天元区
61.8,4室2厅1厨2卫,中楼层 (共8层),137.16,错层,118.0,板楼,南 北,钢混结构,精装,一梯四户,有,天元区
58.8,3室2厅1厨1卫,中楼层 (共24层),107.18,平层,,,南,未知结构,精装,一梯四户,无,荷塘区
53.8,3室2厅1厨2卫,低楼层 (共18层),131.8,平层,,塔楼,南,钢混结构,精装,一梯四户,无,荷塘区
89.8,4室2厅1厨2卫,低楼层 (共32层),139.62,平层,,,南 北,未知结构,精装,一梯四户,无,荷塘区
85.8,4室2厅1厨2卫,高楼层 (共33层),140.54,平层,,板塔结合,南,钢混结构,精装,两梯三户,有,天元区
175.0,4室1厅1厨2卫,低楼层 (共3层),156.21,平层,139.96,板楼,东,钢混结构,精装,一梯两户,有,天元区
88.8,4室2厅1厨2卫,中楼层 (共26层),144.19,平层,130.0,,南 北,钢混结构,精装,一梯四户,无,石峰区
52.8,4室2厅1厨2卫,高楼层 (共33层),121.33,平层,,板塔结合,东南,钢混结构,毛坯,两梯四户,有,荷塘区
